"Activity","API-Timeout-ID","API-Popup-ID","Participant","Popup","Status","Stop Time","Take","Time Remaining","Total Reflection","Creation Date","unique id"
"1738765294961x113791281927028740","13293","13292","1739217555713x916998178763752400","false","Stop","Feb 10, 2025 3:28 pm","1739218376950x537259494475825150","","900","Feb 10, 2025 3:13 pm","1739218379343x240906760838709250"
"1738765294961x113791281927028740","13295","13294","1739217555713x916998178763752400","false","","Feb 11, 2025 10:03 am","1739218555387x515492477629104100","","67661","Feb 10, 2025 3:15 pm","1739218557036x892083485021306900"
"1738765294961x113791281927028740","13297","13296","1739217234225x421265918190210750","false","","Feb 10, 2025 3:18 pm","1739218690339x457775655999242240","","42","Feb 10, 2025 3:18 pm","1739218695498x559976786673795100"
"1738765294961x113791281927028740","13299","13298","1739217234225x421265918190210750","false","","Feb 10, 2025 3:19 pm","1739218755251x407804648912322560","","10","Feb 10, 2025 3:19 pm","1739218757024x295765256574861300"
"1738765294961x113791281927028740","13301","13300","1739217234225x421265918190210750","false","Stop","Feb 10, 2025 3:33 pm","1739218778903x438268365154811900","","816","Feb 10, 2025 3:19 pm","1739218780403x792847680159088600"
"1738765294961x113791281927028740","13315","13314","1739215211624x423248971783300540","false","","Feb 10, 2025 7:08 pm","1739232500887x533692770648850400","","13","Feb 10, 2025 7:08 pm","1739232502427x961981077682651100"
"1738765294961x113791281927028740","13317","13316","1739215211624x423248971783300540","false","Stop","Feb 19, 2025 10:21 am","1739232531819x800626549023834100","","745933","Feb 10, 2025 7:08 pm","1739232535410x229041640606269440"
"1738765294961x548993394586943500","13357","13356","1739217555713x916998178763752400","false","Stop","Feb 11, 2025 11:24 am","1739290172718x913065212837888000","","900","Feb 11, 2025 11:09 am","1739290181304x309914172087336960"
"1738765294961x230124833165017100","13359","13358","1739217555713x916998178763752400","false","","Feb 11, 2025 12:09 pm","1739293635869x827599833909690400","","120","Feb 11, 2025 12:07 pm","1739293639320x880429591481286700"
"1738765294961x230124833165017100","13361","13360","1739217555713x916998178763752400","false","","Feb 11, 2025 12:14 pm","1739293947029x221882864536911870","","110","Feb 11, 2025 12:12 pm","1739293952357x204272166883295230"
"1738765294961x230124833165017100","13363","13362","1739217555713x916998178763752400","false","","Feb 11, 2025 12:21 pm","1739294343958x934327301132255200","","122","Feb 11, 2025 12:19 pm","1739294362906x565533918089969660"
"1738765294961x113791281927028740","13371","13370","1739220038097x395822659655955800","false","","Feb 11, 2025 3:39 pm","1739306328839x214313190758023170","","22","Feb 11, 2025 3:38 pm","1739306334844x407764847023620100"
"1738765294961x113791281927028740","13373","13372","1739220311621x569778228421260700","false","","Feb 11, 2025 4:49 pm","1739310534137x457156978348654600","","33","Feb 11, 2025 4:48 pm","1739310536199x499838299878195200"
"1738765294961x113791281927028740","13421","13420","1739380004771x173749010142510750","false","","Feb 12, 2025 12:53 pm","1739382809674x895789488289611800","","8","Feb 12, 2025 12:53 pm","1739382812392x979986093433159700"
"1738765294961x113791281927028740","13423","13422","1739380004771x173749010142510750","false","","Feb 12, 2025 12:54 pm","1739382834301x331403993286967300","","9","Feb 12, 2025 12:53 pm","1739382835840x289442977310310400"
"1738765294961x113791281927028740","13425","13424","1739380004771x173749010142510750","false","Stop","Feb 12, 2025 1:08 pm","1739382878554x624451290221510700","","833","Feb 12, 2025 12:54 pm","1739382879920x272557395300581380"
"1738765294961x548993394586943500","13427","13426","1739220311621x569778228421260700","false","","Feb 12, 2025 4:42 pm","1739396468873x678270397975363600","","67","Feb 12, 2025 4:41 pm","1739396472204x495614393636880400"
